,method,dataset,missing_schema,accuracy,balanced_accuracy,f1_score,roc_auc,missing_rate,fold,n_neighbors
106,Naive,Electricity,MCAR,0.7594615469491338,0.7392498599713364,0.6811933313834454,0.8235537680168552,0.3,1,
107,KNN_hard,Electricity,MCAR,0.7589098532494759,0.7377827233531931,0.6779661016949152,0.8223285919594645,0.3,1,5.0
108,KNN_proba,Electricity,MCAR,0.7584684982897495,0.7372289124805903,0.6770910163740965,0.8219352658949974,0.3,1,5.0
109,EM,Electricity,MCAR,0.7592408694692706,0.7388196829471998,0.6803398769411075,0.823394753260525,0.3,1,
110,Oracle,Electricity,MCAR,0.7485102626351798,0.7287520676419548,0.6687018461985754,0.8099925705702368,0.3,2,
111,Naive,Electricity,MCAR,0.7475171043919665,0.7276164191145447,0.6670547147846333,0.809827832124296,0.3,2,
112,KNN_hard,Electricity,MCAR,0.748179209887442,0.7277484590973878,0.666374269005848,0.8091293012373326,0.3,2,5.0
113,KNN_proba,Electricity,MCAR,0.7480688589715294,0.7274480170450708,0.6656904378386294,0.8090046383467737,0.3,2,5.0
114,EM,Electricity,MCAR,0.7468549988964909,0.7268365906768008,0.6658898922225459,0.8097118921469107,0.3,2,
115,Oracle,Electricity,MCAR,0.7580004414036636,0.7390431612236104,0.6827715897584261,0.8202844616753825,0.3,3,
116,Naive,Electricity,MCAR,0.7568969322445376,0.7377093530314989,0.6807709027677148,0.8205587599107871,0.3,3,
117,KNN_hard,Electricity,MCAR,0.7570072831604502,0.736577841657194,0.6775043936731108,0.8194220397111868,0.3,3,5.0
118,KNN_proba,Electricity,MCAR,0.7570072831604502,0.7365096533987834,0.6773153575615475,0.8193682068755995,0.3,3,5.0
119,EM,Electricity,MCAR,0.7571176340763628,0.7377988251980537,0.6806905556361527,0.820518584664969,0.3,3,
120,Oracle,Electricity,MCAR,0.7594350033105275,0.7391644595619453,0.6810067310506293,0.8245460284451706,0.3,4,
121,Naive,Electricity,MCAR,0.7595453542264401,0.7390898661930041,0.6806390150959988,0.8239688208191511,0.3,4,
122,KNN_hard,Electricity,MCAR,0.7581107923195762,0.7366842611979152,0.6761229314420804,0.8227341547659132,0.3,4,5.0
123,KNN_proba,Electricity,MCAR,0.7581107923195762,0.736309225776657,0.6750667061962644,0.8225256023732305,0.3,4,5.0
124,EM,Electricity,MCAR,0.7594350033105275,0.7388917065283029,0.6802581402170724,0.8238415161320309,0.3,4,
125,Oracle,Electricity,MAR1,0.7511861414542645,0.7297429601959804,0.6672568983325955,0.8159517065557333,0.3,0,
126,Naive,Electricity,MAR1,0.7484276729559748,0.7269713643874718,0.6637168141592921,0.8173217450063088,0.3,0,
127,KNN_hard,Electricity,MAR1,0.7489793666556328,0.726020215953102,0.6599910327305335,0.8136197060693706,0.3,0,5.0
128,KNN_proba,Electricity,MAR1,0.7487586891757696,0.7252494354004422,0.6580567652800721,0.8140789602198998,0.3,0,5.0
129,EM,Electricity,MAR1,0.7494207216153591,0.727629897764126,0.6640035508211274,0.817203144216567,0.3,0,
